epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2548.68,1.18687,0.99496,1.59385,0.85958,0.85704,0.89675,0.54382,1.31085,0.87762,1.99768,0.0012862,0.0012862,0.0012862
43,2610.59,1.11855,0.92051,1.53171,0.83059,0.81,0.88683,0.54547,1.37659,0.8868,2.05331,0.0012562,0.0012562,0.0012562
44,2671.67,1.16273,0.96316,1.59049,0.82591,0.85397,0.89787,0.53481,1.35215,0.89391,2.03222,0.00122596,0.00122596,0.00122596
45,2732.68,1.13149,0.94049,1.5572,0.83397,0.8,0.89248,0.54167,1.29651,0.87881,1.97731,0.00119551,0.00119551,0.00119551
46,2793.77,1.14368,0.95877,1.57212,0.84563,0.83,0.86963,0.54571,1.32302,0.88723,2.01553,0.00116487,0.00116487,0.00116487
47,2854.66,1.16592,0.97235,1.57631,0.84437,0.85,0.90179,0.55416,1.35542,0.94243,2.009,0.00113408,0.00113408,0.00113408
48,2915.52,1.12554,0.94035,1.55073,0.86082,0.88,0.91679,0.57144,1.25156,0.87093,1.96107,0.00110317,0.00110317,0.00110317
49,2976.39,1.09069,0.9125,1.50551,0.86094,0.86678,0.91194,0.55115,1.30177,0.84408,1.99417,0.00107216,0.00107216,0.00107216
50,3037.19,1.1332,0.93982,1.54855,0.79896,0.83461,0.87572,0.55669,1.31071,0.89715,2.01803,0.0010411,0.0010411,0.0010411
51,3097.97,1.1273,0.93147,1.5594,0.81826,0.90051,0.91825,0.58236,1.25704,0.79857,1.93361,0.00101,0.00101,0.00101
52,3158.8,1.09648,0.92379,1.53186,0.85132,0.83,0.8972,0.5803,1.25326,0.83031,1.96931,0.000978903,0.000978903,0.000978903
53,3219.55,1.08345,0.91946,1.51784,0.84982,0.84,0.91498,0.58012,1.26588,0.83914,1.94134,0.000947837,0.000947837,0.000947837
54,3280.55,1.1071,0.90308,1.5451,0.85488,0.82477,0.90061,0.55065,1.34884,0.81753,2.04667,0.000916833,0.000916833,0.000916833
55,3342.01,1.07642,0.88399,1.51819,0.87546,0.86,0.90085,0.55986,1.31701,0.87271,1.99425,0.00088592,0.00088592,0.00088592
56,3402.82,1.11015,0.8963,1.5185,0.82571,0.86,0.90368,0.55367,1.36443,0.90675,2.06473,0.00085513,0.00085513,0.00085513
57,3463.61,1.06101,0.86327,1.48548,0.87319,0.82636,0.8958,0.57659,1.27795,0.81106,1.95984,0.000824492,0.000824492,0.000824492
58,3524.26,1.06912,0.85504,1.50685,0.80405,0.9,0.88492,0.54883,1.33338,0.86141,2.05126,0.000794038,0.000794038,0.000794038
59,3585.02,1.06624,0.88579,1.50142,0.88659,0.85994,0.91486,0.5667,1.28664,0.80954,2.01996,0.000763797,0.000763797,0.000763797
60,3645.88,1.08101,0.88052,1.52042,0.82451,0.89271,0.90767,0.56365,1.33391,0.82014,2.04411,0.000733799,0.000733799,0.000733799
61,3706.43,1.07436,0.89013,1.51218,0.84863,0.84,0.92681,0.57329,1.36308,0.77593,2.06464,0.000704073,0.000704073,0.000704073
62,3767.31,1.07168,0.8555,1.49928,0.80326,0.91,0.90514,0.56796,1.32987,0.7904,2.01156,0.000674649,0.000674649,0.000674649
63,3827.98,1.04396,0.85431,1.49235,0.87574,0.84577,0.90862,0.55372,1.33067,0.8403,2.08013,0.000645557,0.000645557,0.000645557
64,3888.79,1.03531,0.83513,1.47295,0.81799,0.89884,0.89783,0.56939,1.34149,0.79793,2.06728,0.000616824,0.000616824,0.000616824
