epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.683,2.23751,2.73472,1.70073,0.36431,0.2822,0.2325,0.10362,2.23104,2.60286,1.8065,0.000414683,0.000414683,0.000414683
2,823.516,2.30514,2.18703,1.73808,0.35101,0.274,0.23346,0.09739,2.28467,2.29802,1.85411,0.000814888,0.000814888,0.000814888
3,1247.1,2.32399,2.23255,1.72075,0.39821,0.29977,0.26039,0.11143,2.18263,2.29776,1.77174,0.00119859,0.00119859,0.00119859
